NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 0, 1
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 2
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 100, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 4
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 4
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 200, 3
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 5
1000000, 30, 25, 300, 4
1000000, 30, 25, 300, 4
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 6
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 6
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 5
1000000, 30, 25, 400, 4
1000000, 30, 25, 500, 5
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 5
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 5
1000000, 30, 25, 500, 6
1000000, 30, 25, 500, 6
1000000, 30, 25, 600, 6
1000000, 30, 25, 600, 6
1000000, 30, 25, 600, 7
1000000, 30, 25, 600, 9
1000000, 30, 25, 600, 6
1000000, 30, 25, 600, 7
1000000, 30, 25, 600, 6
1000000, 30, 25, 600, 6
1000000, 30, 25, 600, 8
1000000, 30, 25, 600, 7
1000000, 30, 25, 700, 7
1000000, 30, 25, 700, 8
1000000, 30, 25, 700, 9
1000000, 30, 25, 700, 7
1000000, 30, 25, 700, 8
1000000, 30, 25, 700, 9
1000000, 30, 25, 700, 8
1000000, 30, 25, 700, 9
1000000, 30, 25, 700, 7
1000000, 30, 25, 700, 8
1000000, 30, 25, 800, 10
1000000, 30, 25, 800, 9
1000000, 30, 25, 800, 10
1000000, 30, 25, 800, 9
1000000, 30, 25, 800, 9
1000000, 30, 25, 800, 8
1000000, 30, 25, 800, 9
1000000, 30, 25, 800, 9
1000000, 30, 25, 800, 8
1000000, 30, 25, 800, 9
1000000, 30, 25, 900, 11
1000000, 30, 25, 900, 11
1000000, 30, 25, 900, 10
1000000, 30, 25, 900, 12
1000000, 30, 25, 900, 11
1000000, 30, 25, 900, 13
1000000, 30, 25, 900, 10
1000000, 30, 25, 900, 9
1000000, 30, 25, 900, 12
1000000, 30, 25, 900, 11
1000000, 30, 25, 1000, 14
1000000, 30, 25, 1000, 13
1000000, 30, 25, 1000, 12
1000000, 30, 25, 1000, 13
1000000, 30, 25, 1000, 12
1000000, 30, 25, 1000, 13
1000000, 30, 25, 1000, 13
1000000, 30, 25, 1000, 11
1000000, 30, 25, 1000, 13
1000000, 30, 25, 1000, 12
1000000, 30, 25, 1100, 16
1000000, 30, 25, 1100, 15
1000000, 30, 25, 1100, 16
1000000, 30, 25, 1100, 20
1000000, 30, 25, 1100, 16
1000000, 30, 25, 1100, 16
1000000, 30, 25, 1100, 14
1000000, 30, 25, 1100, 17
1000000, 30, 25, 1100, 20
1000000, 30, 25, 1100, 16
1000000, 30, 25, 1200, 18
1000000, 30, 25, 1200, 18
1000000, 30, 25, 1200, 23
1000000, 30, 25, 1200, 17
1000000, 30, 25, 1200, 18
1000000, 30, 25, 1200, 20
1000000, 30, 25, 1200, 18
1000000, 30, 25, 1200, 16
1000000, 30, 25, 1200, 18
1000000, 30, 25, 1200, 19
1000000, 30, 25, 1300, 25
1000000, 30, 25, 1300, 21
1000000, 30, 25, 1300, 23
1000000, 30, 25, 1300, 29
1000000, 30, 25, 1300, 25
1000000, 30, 25, 1300, 26
1000000, 30, 25, 1300, 27
1000000, 30, 25, 1300, 21
1000000, 30, 25, 1300, 24
1000000, 30, 25, 1300, 19
1000000, 30, 25, 1400, 29
1000000, 30, 25, 1400, 34
1000000, 30, 25, 1400, 27
1000000, 30, 25, 1400, 25
1000000, 30, 25, 1400, 27
1000000, 30, 25, 1400, 26
1000000, 30, 25, 1400, 28
1000000, 30, 25, 1400, 26
1000000, 30, 25, 1400, 28
1000000, 30, 25, 1400, 23
1000000, 30, 25, 1500, 52
1000000, 30, 25, 1500, 34
1000000, 30, 25, 1500, 41
1000000, 30, 25, 1500, 38
1000000, 30, 25, 1500, 35
1000000, 30, 25, 1500, 40
1000000, 30, 25, 1500, 35
1000000, 30, 25, 1500, 48
1000000, 30, 25, 1500, 39
1000000, 30, 25, 1500, 39
1000000, 30, 25, 1600, 46
1000000, 30, 25, 1600, 45
1000000, 30, 25, 1600, 77
1000000, 30, 25, 1600, 51
1000000, 30, 25, 1600, 49
1000000, 30, 25, 1600, 48
1000000, 30, 25, 1600, 52
1000000, 30, 25, 1600, 58
1000000, 30, 25, 1600, 63
1000000, 30, 25, 1600, 49
1000000, 30, 25, 1700, 74
1000000, 30, 25, 1700, 81
1000000, 30, 25, 1700, 98
1000000, 30, 25, 1700, 77
1000000, 30, 25, 1700, 75
1000000, 30, 25, 1700, 74
1000000, 30, 25, 1700, 75
1000000, 30, 25, 1700, 86
1000000, 30, 25, 1700, 77
1000000, 30, 25, 1700, 106
1000000, 30, 25, 1800, 186
1000000, 30, 25, 1800, 136
1000000, 30, 25, 1800, 129
1000000, 30, 25, 1800, 122
1000000, 30, 25, 1800, 120
1000000, 30, 25, 1800, 131
1000000, 30, 25, 1800, 160
1000000, 30, 25, 1800, 132
1000000, 30, 25, 1800, 121
1000000, 30, 25, 1800, 121
1000000, 30, 25, 1900, 491
1000000, 30, 25, 1900, 317
1000000, 30, 25, 1900, 212
1000000, 30, 25, 1900, 221
1000000, 30, 25, 1900, 189
