NumNodes,GroupSize,AvgDeg,NumSeed,InfRate,NumInfected
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 0, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 5
1000000, 10, 6, 3, 100, 5
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 4
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 4
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 5
1000000, 10, 6, 3, 100, 4
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 5
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 6
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 100, 3
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 6
1000000, 10, 6, 3, 200, 7
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 4
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 10
1000000, 10, 6, 3, 200, 6
1000000, 10, 6, 3, 200, 8
1000000, 10, 6, 3, 200, 5
1000000, 10, 6, 3, 200, 6
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 5
1000000, 10, 6, 3, 200, 7
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 7
1000000, 10, 6, 3, 200, 7
1000000, 10, 6, 3, 200, 4
1000000, 10, 6, 3, 200, 9
1000000, 10, 6, 3, 200, 8
1000000, 10, 6, 3, 200, 6
1000000, 10, 6, 3, 200, 5
1000000, 10, 6, 3, 200, 4
1000000, 10, 6, 3, 200, 7
1000000, 10, 6, 3, 200, 6
1000000, 10, 6, 3, 200, 4
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 3
1000000, 10, 6, 3, 200, 4
1000000, 10, 6, 3, 300, 5
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 8
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 5
1000000, 10, 6, 3, 300, 5
1000000, 10, 6, 3, 300, 4
1000000, 10, 6, 3, 300, 8
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 10
1000000, 10, 6, 3, 300, 4
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 6
1000000, 10, 6, 3, 300, 4
1000000, 10, 6, 3, 300, 5
1000000, 10, 6, 3, 300, 11
1000000, 10, 6, 3, 300, 13
1000000, 10, 6, 3, 300, 8
1000000, 10, 6, 3, 300, 9
1000000, 10, 6, 3, 300, 9
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 11
1000000, 10, 6, 3, 300, 3
1000000, 10, 6, 3, 300, 8
1000000, 10, 6, 3, 300, 6
1000000, 10, 6, 3, 300, 7
1000000, 10, 6, 3, 300, 5
1000000, 10, 6, 3, 300, 10
1000000, 10, 6, 3, 300, 4
1000000, 10, 6, 3, 400, 4
1000000, 10, 6, 3, 400, 55
1000000, 10, 6, 3, 400, 6
1000000, 10, 6, 3, 400, 9
1000000, 10, 6, 3, 400, 14
1000000, 10, 6, 3, 400, 5
1000000, 10, 6, 3, 400, 11
1000000, 10, 6, 3, 400, 10
1000000, 10, 6, 3, 400, 6
1000000, 10, 6, 3, 400, 7
1000000, 10, 6, 3, 400, 10
1000000, 10, 6, 3, 400, 7
1000000, 10, 6, 3, 400, 15
1000000, 10, 6, 3, 400, 15
1000000, 10, 6, 3, 400, 9
1000000, 10, 6, 3, 400, 13
1000000, 10, 6, 3, 400, 7
1000000, 10, 6, 3, 400, 15
1000000, 10, 6, 3, 400, 5
1000000, 10, 6, 3, 400, 4
1000000, 10, 6, 3, 400, 8
1000000, 10, 6, 3, 400, 3
1000000, 10, 6, 3, 400, 8
1000000, 10, 6, 3, 400, 11
1000000, 10, 6, 3, 400, 6
1000000, 10, 6, 3, 400, 37
1000000, 10, 6, 3, 400, 15
1000000, 10, 6, 3, 400, 14
1000000, 10, 6, 3, 400, 4
1000000, 10, 6, 3, 400, 7
1000000, 10, 6, 3, 500, 9
1000000, 10, 6, 3, 500, 35
1000000, 10, 6, 3, 500, 78
1000000, 10, 6, 3, 500, 10
1000000, 10, 6, 3, 500, 27
1000000, 10, 6, 3, 500, 8
1000000, 10, 6, 3, 500, 7
1000000, 10, 6, 3, 500, 12
1000000, 10, 6, 3, 500, 8
1000000, 10, 6, 3, 500, 12
1000000, 10, 6, 3, 500, 30
1000000, 10, 6, 3, 500, 8
1000000, 10, 6, 3, 500, 13
1000000, 10, 6, 3, 500, 9
1000000, 10, 6, 3, 500, 25
1000000, 10, 6, 3, 500, 104
1000000, 10, 6, 3, 500, 12
1000000, 10, 6, 3, 500, 43
1000000, 10, 6, 3, 500, 35
1000000, 10, 6, 3, 500, 10
1000000, 10, 6, 3, 500, 14
1000000, 10, 6, 3, 500, 27
1000000, 10, 6, 3, 500, 98
1000000, 10, 6, 3, 500, 24
1000000, 10, 6, 3, 500, 13
1000000, 10, 6, 3, 500, 11
1000000, 10, 6, 3, 500, 30
1000000, 10, 6, 3, 500, 10
1000000, 10, 6, 3, 500, 24
1000000, 10, 6, 3, 500, 10
1000000, 10, 6, 3, 600, 100
1000000, 10, 6, 3, 600, 117
1000000, 10, 6, 3, 600, 1813
1000000, 10, 6, 3, 600, 38
1000000, 10, 6, 3, 600, 5
1000000, 10, 6, 3, 600, 23
1000000, 10, 6, 3, 600, 8
1000000, 10, 6, 3, 600, 4
1000000, 10, 6, 3, 600, 87
1000000, 10, 6, 3, 600, 166
1000000, 10, 6, 3, 600, 34
1000000, 10, 6, 3, 600, 843
1000000, 10, 6, 3, 600, 40
1000000, 10, 6, 3, 600, 9
1000000, 10, 6, 3, 600, 101
1000000, 10, 6, 3, 600, 13
1000000, 10, 6, 3, 600, 25
1000000, 10, 6, 3, 600, 45
1000000, 10, 6, 3, 600, 191
1000000, 10, 6, 3, 600, 11
1000000, 10, 6, 3, 600, 22
1000000, 10, 6, 3, 600, 567
1000000, 10, 6, 3, 600, 21
1000000, 10, 6, 3, 600, 251
1000000, 10, 6, 3, 600, 17
1000000, 10, 6, 3, 600, 65
1000000, 10, 6, 3, 600, 49
1000000, 10, 6, 3, 600, 6
1000000, 10, 6, 3, 600, 16
1000000, 10, 6, 3, 600, 9
1000000, 10, 6, 3, 700, 264
1000000, 10, 6, 3, 700, 252142
1000000, 10, 6, 3, 700, 253092
1000000, 10, 6, 3, 700, 239716
1000000, 10, 6, 3, 700, 9
1000000, 10, 6, 3, 700, 254174
1000000, 10, 6, 3, 700, 252793
1000000, 10, 6, 3, 700, 254777
1000000, 10, 6, 3, 700, 13
1000000, 10, 6, 3, 700, 243772
1000000, 10, 6, 3, 700, 255456
1000000, 10, 6, 3, 700, 47
1000000, 10, 6, 3, 700, 255243
1000000, 10, 6, 3, 700, 247317
1000000, 10, 6, 3, 700, 52
1000000, 10, 6, 3, 700, 9
1000000, 10, 6, 3, 700, 244109
1000000, 10, 6, 3, 700, 30
1000000, 10, 6, 3, 700, 245750
1000000, 10, 6, 3, 700, 43
1000000, 10, 6, 3, 700, 244915
1000000, 10, 6, 3, 700, 252545
1000000, 10, 6, 3, 700, 150
1000000, 10, 6, 3, 700, 70
1000000, 10, 6, 3, 700, 244338
1000000, 10, 6, 3, 700, 240522
1000000, 10, 6, 3, 700, 253182
1000000, 10, 6, 3, 700, 239425
1000000, 10, 6, 3, 700, 48
1000000, 10, 6, 3, 700, 246572
1000000, 10, 6, 3, 800, 9
1000000, 10, 6, 3, 800, 464357
1000000, 10, 6, 3, 800, 4
1000000, 10, 6, 3, 800, 461499
1000000, 10, 6, 3, 800, 456458
1000000, 10, 6, 3, 800, 460079
1000000, 10, 6, 3, 800, 460889
1000000, 10, 6, 3, 800, 464989
1000000, 10, 6, 3, 800, 459142
1000000, 10, 6, 3, 800, 26
1000000, 10, 6, 3, 800, 460924
1000000, 10, 6, 3, 800, 461961
1000000, 10, 6, 3, 800, 463080
1000000, 10, 6, 3, 800, 463848
1000000, 10, 6, 3, 800, 459864
1000000, 10, 6, 3, 800, 33
1000000, 10, 6, 3, 800, 15
1000000, 10, 6, 3, 800, 459004
1000000, 10, 6, 3, 800, 468264
1000000, 10, 6, 3, 800, 463122
1000000, 10, 6, 3, 800, 459803
1000000, 10, 6, 3, 800, 459608
1000000, 10, 6, 3, 800, 462820
1000000, 10, 6, 3, 800, 462984
1000000, 10, 6, 3, 800, 461428
1000000, 10, 6, 3, 800, 462682
1000000, 10, 6, 3, 800, 460885
1000000, 10, 6, 3, 800, 8
1000000, 10, 6, 3, 800, 462253
1000000, 10, 6, 3, 800, 458585
1000000, 10, 6, 3, 900, 604157
1000000, 10, 6, 3, 900, 10
1000000, 10, 6, 3, 900, 598367
1000000, 10, 6, 3, 900, 604135
1000000, 10, 6, 3, 900, 600786
1000000, 10, 6, 3, 900, 601906
1000000, 10, 6, 3, 900, 603263
1000000, 10, 6, 3, 900, 603810
1000000, 10, 6, 3, 900, 604497
1000000, 10, 6, 3, 900, 17
1000000, 10, 6, 3, 900, 606931
1000000, 10, 6, 3, 900, 602469
1000000, 10, 6, 3, 900, 602558
1000000, 10, 6, 3, 900, 603412
1000000, 10, 6, 3, 900, 604479
1000000, 10, 6, 3, 900, 602111
1000000, 10, 6, 3, 900, 603705
1000000, 10, 6, 3, 900, 20
1000000, 10, 6, 3, 900, 601552
1000000, 10, 6, 3, 900, 603320
1000000, 10, 6, 3, 900, 601291
1000000, 10, 6, 3, 900, 602786
1000000, 10, 6, 3, 900, 603826
1000000, 10, 6, 3, 900, 602301
1000000, 10, 6, 3, 900, 602536
1000000, 10, 6, 3, 900, 605106
1000000, 10, 6, 3, 900, 603223
1000000, 10, 6, 3, 900, 601757
1000000, 10, 6, 3, 900, 603890
1000000, 10, 6, 3, 900, 600602
1000000, 10, 6, 3, 1000, 696850
1000000, 10, 6, 3, 1000, 701864
1000000, 10, 6, 3, 1000, 700184
1000000, 10, 6, 3, 1000, 700331
1000000, 10, 6, 3, 1000, 700731
1000000, 10, 6, 3, 1000, 700924
1000000, 10, 6, 3, 1000, 699314
1000000, 10, 6, 3, 1000, 700523
1000000, 10, 6, 3, 1000, 701677
1000000, 10, 6, 3, 1000, 701364
1000000, 10, 6, 3, 1000, 700632
1000000, 10, 6, 3, 1000, 699717
1000000, 10, 6, 3, 1000, 699653
1000000, 10, 6, 3, 1000, 703150
1000000, 10, 6, 3, 1000, 699873
1000000, 10, 6, 3, 1000, 700183
1000000, 10, 6, 3, 1000, 699494
1000000, 10, 6, 3, 1000, 699443
1000000, 10, 6, 3, 1000, 700750
1000000, 10, 6, 3, 1000, 701138
1000000, 10, 6, 3, 1000, 701097
1000000, 10, 6, 3, 1000, 700526
1000000, 10, 6, 3, 1000, 701498
1000000, 10, 6, 3, 1000, 697422
1000000, 10, 6, 3, 1000, 700097
1000000, 10, 6, 3, 1000, 700354
1000000, 10, 6, 3, 1000, 698579
1000000, 10, 6, 3, 1000, 698091
1000000, 10, 6, 3, 1000, 700033
1000000, 10, 6, 3, 1000, 700507
1000000, 10, 6, 3, 1100, 769553
1000000, 10, 6, 3, 1100, 769590
1000000, 10, 6, 3, 1100, 769964
1000000, 10, 6, 3, 1100, 769316
1000000, 10, 6, 3, 1100, 769717
1000000, 10, 6, 3, 1100, 770416
1000000, 10, 6, 3, 1100, 770274
1000000, 10, 6, 3, 1100, 770371
1000000, 10, 6, 3, 1100, 769256
1000000, 10, 6, 3, 1100, 767596
1000000, 10, 6, 3, 1100, 769588
1000000, 10, 6, 3, 1100, 769660
1000000, 10, 6, 3, 1100, 769590
1000000, 10, 6, 3, 1100, 770581
1000000, 10, 6, 3, 1100, 770301
1000000, 10, 6, 3, 1100, 771539
1000000, 10, 6, 3, 1100, 771343
1000000, 10, 6, 3, 1100, 769320
1000000, 10, 6, 3, 1100, 769494
1000000, 10, 6, 3, 1100, 767857
1000000, 10, 6, 3, 1100, 768831
1000000, 10, 6, 3, 1100, 768501
1000000, 10, 6, 3, 1100, 768929
1000000, 10, 6, 3, 1100, 771521
1000000, 10, 6, 3, 1100, 770641
1000000, 10, 6, 3, 1100, 771794
1000000, 10, 6, 3, 1100, 768810
1000000, 10, 6, 3, 1100, 770410
1000000, 10, 6, 3, 1100, 769575
1000000, 10, 6, 3, 1100, 768773
1000000, 10, 6, 3, 1200, 821399
1000000, 10, 6, 3, 1200, 822153
1000000, 10, 6, 3, 1200, 821295
1000000, 10, 6, 3, 1200, 820467
1000000, 10, 6, 3, 1200, 818487
1000000, 10, 6, 3, 1200, 820022
1000000, 10, 6, 3, 1200, 820892
1000000, 10, 6, 3, 1200, 820049
1000000, 10, 6, 3, 1200, 819467
1000000, 10, 6, 3, 1200, 819206
1000000, 10, 6, 3, 1200, 821807
1000000, 10, 6, 3, 1200, 821581
1000000, 10, 6, 3, 1200, 820297
1000000, 10, 6, 3, 1200, 820818
1000000, 10, 6, 3, 1200, 818755
1000000, 10, 6, 3, 1200, 820243
1000000, 10, 6, 3, 1200, 821400
1000000, 10, 6, 3, 1200, 820930
1000000, 10, 6, 3, 1200, 818843
1000000, 10, 6, 3, 1200, 821708
1000000, 10, 6, 3, 1200, 819574
1000000, 10, 6, 3, 1200, 820813
1000000, 10, 6, 3, 1200, 821163
1000000, 10, 6, 3, 1200, 822121
1000000, 10, 6, 3, 1200, 819902
1000000, 10, 6, 3, 1200, 821004
1000000, 10, 6, 3, 1200, 821190
1000000, 10, 6, 3, 1200, 820638
1000000, 10, 6, 3, 1200, 821128
1000000, 10, 6, 3, 1200, 821340
1000000, 10, 6, 3, 1300, 858339
1000000, 10, 6, 3, 1300, 859190
1000000, 10, 6, 3, 1300, 860193
1000000, 10, 6, 3, 1300, 858040
1000000, 10, 6, 3, 1300, 857460
1000000, 10, 6, 3, 1300, 857156
1000000, 10, 6, 3, 1300, 858412
1000000, 10, 6, 3, 1300, 857907
1000000, 10, 6, 3, 1300, 858973
1000000, 10, 6, 3, 1300, 856998
1000000, 10, 6, 3, 1300, 859016
1000000, 10, 6, 3, 1300, 858436
1000000, 10, 6, 3, 1300, 858513
1000000, 10, 6, 3, 1300, 859326
1000000, 10, 6, 3, 1300, 858569
1000000, 10, 6, 3, 1300, 858186
1000000, 10, 6, 3, 1300, 857454
1000000, 10, 6, 3, 1300, 858424
1000000, 10, 6, 3, 1300, 857047
1000000, 10, 6, 3, 1300, 858210
1000000, 10, 6, 3, 1300, 859053
1000000, 10, 6, 3, 1300, 859119
1000000, 10, 6, 3, 1300, 857543
1000000, 10, 6, 3, 1300, 858180
1000000, 10, 6, 3, 1300, 859840
1000000, 10, 6, 3, 1300, 857828
1000000, 10, 6, 3, 1300, 857701
1000000, 10, 6, 3, 1300, 859140
1000000, 10, 6, 3, 1300, 858019
1000000, 10, 6, 3, 1300, 859107
1000000, 10, 6, 3, 1400, 887160
1000000, 10, 6, 3, 1400, 886932
1000000, 10, 6, 3, 1400, 887018
1000000, 10, 6, 3, 1400, 886639
1000000, 10, 6, 3, 1400, 887547
1000000, 10, 6, 3, 1400, 887046
1000000, 10, 6, 3, 1400, 887935
1000000, 10, 6, 3, 1400, 887556
1000000, 10, 6, 3, 1400, 888034
1000000, 10, 6, 3, 1400, 887778
1000000, 10, 6, 3, 1400, 886344
1000000, 10, 6, 3, 1400, 888383
1000000, 10, 6, 3, 1400, 885715
1000000, 10, 6, 3, 1400, 886974
1000000, 10, 6, 3, 1400, 887795
1000000, 10, 6, 3, 1400, 886551
1000000, 10, 6, 3, 1400, 886422
1000000, 10, 6, 3, 1400, 887599
1000000, 10, 6, 3, 1400, 888533
1000000, 10, 6, 3, 1400, 886859
1000000, 10, 6, 3, 1400, 886966
1000000, 10, 6, 3, 1400, 886817
1000000, 10, 6, 3, 1400, 886883
1000000, 10, 6, 3, 1400, 885708
1000000, 10, 6, 3, 1400, 887944
1000000, 10, 6, 3, 1400, 886413
1000000, 10, 6, 3, 1400, 888559
1000000, 10, 6, 3, 1400, 886819
1000000, 10, 6, 3, 1400, 888114
1000000, 10, 6, 3, 1400, 886220
1000000, 10, 6, 3, 1500, 908565
1000000, 10, 6, 3, 1500, 908542
1000000, 10, 6, 3, 1500, 909867
1000000, 10, 6, 3, 1500, 908825
1000000, 10, 6, 3, 1500, 909439
1000000, 10, 6, 3, 1500, 908804
1000000, 10, 6, 3, 1500, 909012
1000000, 10, 6, 3, 1500, 908794
1000000, 10, 6, 3, 1500, 909594
1000000, 10, 6, 3, 1500, 908529
1000000, 10, 6, 3, 1500, 908164
1000000, 10, 6, 3, 1500, 909521
1000000, 10, 6, 3, 1500, 910092
1000000, 10, 6, 3, 1500, 908795
1000000, 10, 6, 3, 1500, 907987
1000000, 10, 6, 3, 1500, 909571
1000000, 10, 6, 3, 1500, 908281
1000000, 10, 6, 3, 1500, 908773
1000000, 10, 6, 3, 1500, 908147
1000000, 10, 6, 3, 1500, 908459
1000000, 10, 6, 3, 1500, 909196
1000000, 10, 6, 3, 1500, 908764
1000000, 10, 6, 3, 1500, 909087
1000000, 10, 6, 3, 1500, 908650
1000000, 10, 6, 3, 1500, 908882
1000000, 10, 6, 3, 1500, 909118
1000000, 10, 6, 3, 1500, 908935
1000000, 10, 6, 3, 1500, 909534
1000000, 10, 6, 3, 1500, 908960
1000000, 10, 6, 3, 1500, 908229
