,NumNodes,GroupSize,AvgDeg,InfectionProbability,NumInfected
174,1000000,10,5,0.03,4
196,1000000,10,5,0.03,5
167,1000000,10,5,0.03,6
192,1000000,10,5,0.03,6
159,1000000,10,5,0.03,7
154,1000000,10,5,0.03,32
158,1000000,10,5,0.03,43
166,1000000,10,5,0.03,70
153,1000000,10,5,0.03,65500
191,1000000,10,5,0.03,67498
190,1000000,10,5,0.03,70550
152,1000000,10,5,0.03,71542
173,1000000,10,5,0.03,74839
157,1000000,10,5,0.03,75339
200,1000000,10,5,0.04,1
205,1000000,10,5,0.04,1
207,1000000,10,5,0.04,1
208,1000000,10,5,0.04,1
212,1000000,10,5,0.04,1
213,1000000,10,5,0.04,1
214,1000000,10,5,0.04,1
217,1000000,10,5,0.04,1
219,1000000,10,5,0.04,1
220,1000000,10,5,0.04,1
221,1000000,10,5,0.04,1
222,1000000,10,5,0.04,1
223,1000000,10,5,0.04,1
224,1000000,10,5,0.04,1
229,1000000,10,5,0.04,1
230,1000000,10,5,0.04,1
232,1000000,10,5,0.04,1
235,1000000,10,5,0.04,1
236,1000000,10,5,0.04,1
237,1000000,10,5,0.04,1
239,1000000,10,5,0.04,1
241,1000000,10,5,0.04,1
242,1000000,10,5,0.04,1
243,1000000,10,5,0.04,1
245,1000000,10,5,0.04,1
246,1000000,10,5,0.04,1
247,1000000,10,5,0.04,1
249,1000000,10,5,0.04,1
202,1000000,10,5,0.04,2
211,1000000,10,5,0.04,2
218,1000000,10,5,0.04,2
210,1000000,10,5,0.04,3
240,1000000,10,5,0.04,3
215,1000000,10,5,0.04,6
248,1000000,10,5,0.04,41
231,1000000,10,5,0.04,243674
227,1000000,10,5,0.04,244061
201,1000000,10,5,0.04,244090
216,1000000,10,5,0.04,244810
244,1000000,10,5,0.04,244845
226,1000000,10,5,0.04,244857
238,1000000,10,5,0.04,244921
206,1000000,10,5,0.04,245157
209,1000000,10,5,0.04,245203
233,1000000,10,5,0.04,245233
234,1000000,10,5,0.04,245361
203,1000000,10,5,0.04,245377
204,1000000,10,5,0.04,245523
228,1000000,10,5,0.04,245671
225,1000000,10,5,0.04,246594
250,1000000,10,5,0.05,1
251,1000000,10,5,0.05,1
252,1000000,10,5,0.05,1
256,1000000,10,5,0.05,1
257,1000000,10,5,0.05,1
258,1000000,10,5,0.05,1
261,1000000,10,5,0.05,1
262,1000000,10,5,0.05,1
263,1000000,10,5,0.05,1
264,1000000,10,5,0.05,1
266,1000000,10,5,0.05,1
267,1000000,10,5,0.05,1
268,1000000,10,5,0.05,1
270,1000000,10,5,0.05,1
271,1000000,10,5,0.05,1
272,1000000,10,5,0.05,1
273,1000000,10,5,0.05,1
276,1000000,10,5,0.05,1
277,1000000,10,5,0.05,1
278,1000000,10,5,0.05,1
280,1000000,10,5,0.05,1
283,1000000,10,5,0.05,1
285,1000000,10,5,0.05,1
286,1000000,10,5,0.05,1
289,1000000,10,5,0.05,1
291,1000000,10,5,0.05,1
293,1000000,10,5,0.05,1
295,1000000,10,5,0.05,1
298,1000000,10,5,0.05,1
282,1000000,10,5,0.05,2
284,1000000,10,5,0.05,2
287,1000000,10,5,0.05,3
253,1000000,10,5,0.05,8
288,1000000,10,5,0.05,10
281,1000000,10,5,0.05,339840
279,1000000,10,5,0.05,340001
290,1000000,10,5,0.05,340182
254,1000000,10,5,0.05,340246
294,1000000,10,5,0.05,340371
299,1000000,10,5,0.05,340570
255,1000000,10,5,0.05,340635
265,1000000,10,5,0.05,340711
260,1000000,10,5,0.05,340893
292,1000000,10,5,0.05,341054
269,1000000,10,5,0.05,341085
296,1000000,10,5,0.05,341585
259,1000000,10,5,0.05,341613
275,1000000,10,5,0.05,341898
297,1000000,10,5,0.05,341921
274,1000000,10,5,0.05,342743
303,1000000,10,5,0.06,1
306,1000000,10,5,0.06,1
307,1000000,10,5,0.06,1
310,1000000,10,5,0.06,1
312,1000000,10,5,0.06,1
314,1000000,10,5,0.06,1
316,1000000,10,5,0.06,1
318,1000000,10,5,0.06,1
319,1000000,10,5,0.06,1
320,1000000,10,5,0.06,1
321,1000000,10,5,0.06,1
322,1000000,10,5,0.06,1
324,1000000,10,5,0.06,1
325,1000000,10,5,0.06,1
328,1000000,10,5,0.06,1
329,1000000,10,5,0.06,1
338,1000000,10,5,0.06,1
341,1000000,10,5,0.06,1
342,1000000,10,5,0.06,1
343,1000000,10,5,0.06,1
345,1000000,10,5,0.06,1
346,1000000,10,5,0.06,1
348,1000000,10,5,0.06,1
349,1000000,10,5,0.06,1
302,1000000,10,5,0.06,6
327,1000000,10,5,0.06,398962
308,1000000,10,5,0.06,399051
326,1000000,10,5,0.06,399635
344,1000000,10,5,0.06,399639
336,1000000,10,5,0.06,399654
300,1000000,10,5,0.06,399750
317,1000000,10,5,0.06,399757
305,1000000,10,5,0.06,399921
313,1000000,10,5,0.06,399981
301,1000000,10,5,0.06,399984
304,1000000,10,5,0.06,400053
315,1000000,10,5,0.06,400198
330,1000000,10,5,0.06,400228
339,1000000,10,5,0.06,400241
333,1000000,10,5,0.06,400335
340,1000000,10,5,0.06,400469
323,1000000,10,5,0.06,400594
337,1000000,10,5,0.06,400602
347,1000000,10,5,0.06,400629
331,1000000,10,5,0.06,400649
309,1000000,10,5,0.06,400660
332,1000000,10,5,0.06,400705
311,1000000,10,5,0.06,400775
335,1000000,10,5,0.06,401033
334,1000000,10,5,0.06,401051
350,1000000,10,5,0.07,1
354,1000000,10,5,0.07,1
356,1000000,10,5,0.07,1
357,1000000,10,5,0.07,1
361,1000000,10,5,0.07,1
364,1000000,10,5,0.07,1
365,1000000,10,5,0.07,1
366,1000000,10,5,0.07,1
369,1000000,10,5,0.07,1
371,1000000,10,5,0.07,1
374,1000000,10,5,0.07,1
378,1000000,10,5,0.07,1
380,1000000,10,5,0.07,1
382,1000000,10,5,0.07,1
384,1000000,10,5,0.07,1
385,1000000,10,5,0.07,1
387,1000000,10,5,0.07,1
389,1000000,10,5,0.07,1
396,1000000,10,5,0.07,1
397,1000000,10,5,0.07,1
376,1000000,10,5,0.07,2
394,1000000,10,5,0.07,2
383,1000000,10,5,0.07,437461
381,1000000,10,5,0.07,437475
386,1000000,10,5,0.07,437475
388,1000000,10,5,0.07,437753
359,1000000,10,5,0.07,437830
367,1000000,10,5,0.07,437832
392,1000000,10,5,0.07,437874
391,1000000,10,5,0.07,437895
370,1000000,10,5,0.07,437941
373,1000000,10,5,0.07,438035
399,1000000,10,5,0.07,438100
363,1000000,10,5,0.07,438156
358,1000000,10,5,0.07,438176
379,1000000,10,5,0.07,438261
351,1000000,10,5,0.07,438311
353,1000000,10,5,0.07,438381
390,1000000,10,5,0.07,438381
375,1000000,10,5,0.07,438430
398,1000000,10,5,0.07,438467
372,1000000,10,5,0.07,438495
377,1000000,10,5,0.07,438498
395,1000000,10,5,0.07,438504
355,1000000,10,5,0.07,438605
360,1000000,10,5,0.07,438778
368,1000000,10,5,0.07,438804
393,1000000,10,5,0.07,438903
352,1000000,10,5,0.07,438905
362,1000000,10,5,0.07,438973
400,1000000,10,5,0.08,1
401,1000000,10,5,0.08,1
405,1000000,10,5,0.08,1
407,1000000,10,5,0.08,1
408,1000000,10,5,0.08,1
411,1000000,10,5,0.08,1
412,1000000,10,5,0.08,1
413,1000000,10,5,0.08,1
416,1000000,10,5,0.08,1
417,1000000,10,5,0.08,1
419,1000000,10,5,0.08,1
420,1000000,10,5,0.08,1
424,1000000,10,5,0.08,1
428,1000000,10,5,0.08,1
431,1000000,10,5,0.08,1
432,1000000,10,5,0.08,1
434,1000000,10,5,0.08,1
438,1000000,10,5,0.08,1
439,1000000,10,5,0.08,1
441,1000000,10,5,0.08,1
445,1000000,10,5,0.08,1
447,1000000,10,5,0.08,1
449,1000000,10,5,0.08,1
437,1000000,10,5,0.08,6
426,1000000,10,5,0.08,463148
435,1000000,10,5,0.08,463178
430,1000000,10,5,0.08,463193
440,1000000,10,5,0.08,463262
410,1000000,10,5,0.08,463281
442,1000000,10,5,0.08,463312
433,1000000,10,5,0.08,463412
415,1000000,10,5,0.08,463452
425,1000000,10,5,0.08,463525
406,1000000,10,5,0.08,463607
402,1000000,10,5,0.08,463626
443,1000000,10,5,0.08,463799
436,1000000,10,5,0.08,463800
414,1000000,10,5,0.08,463801
418,1000000,10,5,0.08,463814
422,1000000,10,5,0.08,463894
409,1000000,10,5,0.08,463934
429,1000000,10,5,0.08,463965
421,1000000,10,5,0.08,463968
446,1000000,10,5,0.08,464017
403,1000000,10,5,0.08,464021
423,1000000,10,5,0.08,464070
448,1000000,10,5,0.08,464077
427,1000000,10,5,0.08,464129
444,1000000,10,5,0.08,464178
404,1000000,10,5,0.08,464270
451,1000000,10,5,0.09,1
452,1000000,10,5,0.09,1
453,1000000,10,5,0.09,1
454,1000000,10,5,0.09,1
457,1000000,10,5,0.09,1
458,1000000,10,5,0.09,1
461,1000000,10,5,0.09,1
465,1000000,10,5,0.09,1
466,1000000,10,5,0.09,1
469,1000000,10,5,0.09,1
472,1000000,10,5,0.09,1
473,1000000,10,5,0.09,1
474,1000000,10,5,0.09,1
475,1000000,10,5,0.09,1
477,1000000,10,5,0.09,1
478,1000000,10,5,0.09,1
480,1000000,10,5,0.09,1
481,1000000,10,5,0.09,1
482,1000000,10,5,0.09,1
483,1000000,10,5,0.09,1
484,1000000,10,5,0.09,1
486,1000000,10,5,0.09,1
487,1000000,10,5,0.09,1
489,1000000,10,5,0.09,1
490,1000000,10,5,0.09,1
491,1000000,10,5,0.09,1
494,1000000,10,5,0.09,1
497,1000000,10,5,0.09,1
467,1000000,10,5,0.09,480699
462,1000000,10,5,0.09,480936
468,1000000,10,5,0.09,480961
459,1000000,10,5,0.09,481052
493,1000000,10,5,0.09,481141
499,1000000,10,5,0.09,481153
464,1000000,10,5,0.09,481254
470,1000000,10,5,0.09,481302
479,1000000,10,5,0.09,481305
455,1000000,10,5,0.09,481309
498,1000000,10,5,0.09,481359
463,1000000,10,5,0.09,481453
488,1000000,10,5,0.09,481471
476,1000000,10,5,0.09,481534
460,1000000,10,5,0.09,481581
456,1000000,10,5,0.09,481600
485,1000000,10,5,0.09,481648
495,1000000,10,5,0.09,481657
471,1000000,10,5,0.09,481671
496,1000000,10,5,0.09,481684
492,1000000,10,5,0.09,481713
450,1000000,10,5,0.09,481895
500,1000000,10,5,0.1,1
501,1000000,10,5,0.1,1
502,1000000,10,5,0.1,1
503,1000000,10,5,0.1,1
508,1000000,10,5,0.1,1
509,1000000,10,5,0.1,1
510,1000000,10,5,0.1,1
511,1000000,10,5,0.1,1
512,1000000,10,5,0.1,1
520,1000000,10,5,0.1,1
522,1000000,10,5,0.1,1
525,1000000,10,5,0.1,1
527,1000000,10,5,0.1,1
528,1000000,10,5,0.1,1
530,1000000,10,5,0.1,1
531,1000000,10,5,0.1,1
534,1000000,10,5,0.1,1
535,1000000,10,5,0.1,1
537,1000000,10,5,0.1,1
544,1000000,10,5,0.1,1
547,1000000,10,5,0.1,1
548,1000000,10,5,0.1,1
518,1000000,10,5,0.1,493535
543,1000000,10,5,0.1,493562
538,1000000,10,5,0.1,493618
540,1000000,10,5,0.1,493680
541,1000000,10,5,0.1,493680
517,1000000,10,5,0.1,493720
504,1000000,10,5,0.1,493721
529,1000000,10,5,0.1,493727
513,1000000,10,5,0.1,493740
523,1000000,10,5,0.1,493758
524,1000000,10,5,0.1,493791
521,1000000,10,5,0.1,493795
516,1000000,10,5,0.1,493831
526,1000000,10,5,0.1,493832
542,1000000,10,5,0.1,493835
532,1000000,10,5,0.1,493867
519,1000000,10,5,0.1,493869
549,1000000,10,5,0.1,493884
514,1000000,10,5,0.1,493891
546,1000000,10,5,0.1,493924
533,1000000,10,5,0.1,493958
536,1000000,10,5,0.1,493973
507,1000000,10,5,0.1,494052
545,1000000,10,5,0.1,494070
515,1000000,10,5,0.1,494100
539,1000000,10,5,0.1,494121
505,1000000,10,5,0.1,494129
506,1000000,10,5,0.1,494254
550,1000000,10,5,0.11,1
553,1000000,10,5,0.11,1
558,1000000,10,5,0.11,1
559,1000000,10,5,0.11,1
563,1000000,10,5,0.11,1
564,1000000,10,5,0.11,1
567,1000000,10,5,0.11,1
568,1000000,10,5,0.11,1
569,1000000,10,5,0.11,1
570,1000000,10,5,0.11,1
573,1000000,10,5,0.11,1
574,1000000,10,5,0.11,1
575,1000000,10,5,0.11,1
577,1000000,10,5,0.11,1
578,1000000,10,5,0.11,1
579,1000000,10,5,0.11,1
581,1000000,10,5,0.11,1
585,1000000,10,5,0.11,1
586,1000000,10,5,0.11,1
587,1000000,10,5,0.11,1
589,1000000,10,5,0.11,1
590,1000000,10,5,0.11,1
591,1000000,10,5,0.11,1
593,1000000,10,5,0.11,1
594,1000000,10,5,0.11,1
596,1000000,10,5,0.11,1
580,1000000,10,5,0.11,502514
582,1000000,10,5,0.11,502566
562,1000000,10,5,0.11,502570
557,1000000,10,5,0.11,502610
552,1000000,10,5,0.11,502667
595,1000000,10,5,0.11,502670
566,1000000,10,5,0.11,502710
598,1000000,10,5,0.11,502729
592,1000000,10,5,0.11,502743
554,1000000,10,5,0.11,502760
556,1000000,10,5,0.11,502783
565,1000000,10,5,0.11,502832
572,1000000,10,5,0.11,502841
597,1000000,10,5,0.11,502868
583,1000000,10,5,0.11,502871
555,1000000,10,5,0.11,502878
561,1000000,10,5,0.11,502885
551,1000000,10,5,0.11,502921
599,1000000,10,5,0.11,502965
560,1000000,10,5,0.11,503019
571,1000000,10,5,0.11,503020
588,1000000,10,5,0.11,503039
584,1000000,10,5,0.11,503123
576,1000000,10,5,0.11,503169
600,1000000,10,5,0.12,1
601,1000000,10,5,0.12,1
605,1000000,10,5,0.12,1
610,1000000,10,5,0.12,1
612,1000000,10,5,0.12,1
614,1000000,10,5,0.12,1
615,1000000,10,5,0.12,1
618,1000000,10,5,0.12,1
619,1000000,10,5,0.12,1
620,1000000,10,5,0.12,1
624,1000000,10,5,0.12,1
625,1000000,10,5,0.12,1
626,1000000,10,5,0.12,1
627,1000000,10,5,0.12,1
630,1000000,10,5,0.12,1
631,1000000,10,5,0.12,1
634,1000000,10,5,0.12,1
635,1000000,10,5,0.12,1
637,1000000,10,5,0.12,1
639,1000000,10,5,0.12,1
641,1000000,10,5,0.12,1
616,1000000,10,5,0.12,2
647,1000000,10,5,0.12,508908
621,1000000,10,5,0.12,508985
633,1000000,10,5,0.12,509020
607,1000000,10,5,0.12,509084
643,1000000,10,5,0.12,509097
648,1000000,10,5,0.12,509118
613,1000000,10,5,0.12,509141
638,1000000,10,5,0.12,509142
636,1000000,10,5,0.12,509188
608,1000000,10,5,0.12,509214
645,1000000,10,5,0.12,509230
644,1000000,10,5,0.12,509231
640,1000000,10,5,0.12,509242
617,1000000,10,5,0.12,509246
606,1000000,10,5,0.12,509278
609,1000000,10,5,0.12,509282
611,1000000,10,5,0.12,509285
649,1000000,10,5,0.12,509288
628,1000000,10,5,0.12,509309
602,1000000,10,5,0.12,509351
622,1000000,10,5,0.12,509352
603,1000000,10,5,0.12,509374
642,1000000,10,5,0.12,509392
623,1000000,10,5,0.12,509440
646,1000000,10,5,0.12,509471
632,1000000,10,5,0.12,509512
629,1000000,10,5,0.12,509527
604,1000000,10,5,0.12,509559
653,1000000,10,5,0.13,1
656,1000000,10,5,0.13,1
657,1000000,10,5,0.13,1
658,1000000,10,5,0.13,1
660,1000000,10,5,0.13,1
661,1000000,10,5,0.13,1
664,1000000,10,5,0.13,1
669,1000000,10,5,0.13,1
670,1000000,10,5,0.13,1
671,1000000,10,5,0.13,1
674,1000000,10,5,0.13,1
677,1000000,10,5,0.13,1
681,1000000,10,5,0.13,1
687,1000000,10,5,0.13,1
688,1000000,10,5,0.13,1
690,1000000,10,5,0.13,1
691,1000000,10,5,0.13,1
695,1000000,10,5,0.13,1
696,1000000,10,5,0.13,1
698,1000000,10,5,0.13,1
682,1000000,10,5,0.13,513726
697,1000000,10,5,0.13,513764
663,1000000,10,5,0.13,513777
692,1000000,10,5,0.13,513778
680,1000000,10,5,0.13,513818
693,1000000,10,5,0.13,513834
679,1000000,10,5,0.13,513854
673,1000000,10,5,0.13,513861
665,1000000,10,5,0.13,513865
678,1000000,10,5,0.13,513866
699,1000000,10,5,0.13,513889
651,1000000,10,5,0.13,513920
662,1000000,10,5,0.13,513922
667,1000000,10,5,0.13,513923
676,1000000,10,5,0.13,513967
689,1000000,10,5,0.13,513977
668,1000000,10,5,0.13,513986
672,1000000,10,5,0.13,514000
686,1000000,10,5,0.13,514000
683,1000000,10,5,0.13,514016
666,1000000,10,5,0.13,514019
650,1000000,10,5,0.13,514025
652,1000000,10,5,0.13,514040
675,1000000,10,5,0.13,514102
694,1000000,10,5,0.13,514142
655,1000000,10,5,0.13,514155
685,1000000,10,5,0.13,514175
684,1000000,10,5,0.13,514304
654,1000000,10,5,0.13,514394
659,1000000,10,5,0.13,514492
701,1000000,10,5,0.14,1
703,1000000,10,5,0.14,1
705,1000000,10,5,0.14,1
711,1000000,10,5,0.14,1
712,1000000,10,5,0.14,1
713,1000000,10,5,0.14,1
714,1000000,10,5,0.14,1
715,1000000,10,5,0.14,1
718,1000000,10,5,0.14,1
719,1000000,10,5,0.14,1
721,1000000,10,5,0.14,1
725,1000000,10,5,0.14,1
727,1000000,10,5,0.14,1
730,1000000,10,5,0.14,1
733,1000000,10,5,0.14,1
734,1000000,10,5,0.14,1
735,1000000,10,5,0.14,1
738,1000000,10,5,0.14,1
739,1000000,10,5,0.14,1
742,1000000,10,5,0.14,1
745,1000000,10,5,0.14,1
747,1000000,10,5,0.14,1
741,1000000,10,5,0.14,517199
744,1000000,10,5,0.14,517289
728,1000000,10,5,0.14,517363
704,1000000,10,5,0.14,517372
710,1000000,10,5,0.14,517376
700,1000000,10,5,0.14,517381
707,1000000,10,5,0.14,517392
720,1000000,10,5,0.14,517396
743,1000000,10,5,0.14,517401
723,1000000,10,5,0.14,517404
726,1000000,10,5,0.14,517435
731,1000000,10,5,0.14,517471
748,1000000,10,5,0.14,517475
749,1000000,10,5,0.14,517478
716,1000000,10,5,0.14,517499
740,1000000,10,5,0.14,517509
736,1000000,10,5,0.14,517519
732,1000000,10,5,0.14,517521
702,1000000,10,5,0.14,517527
706,1000000,10,5,0.14,517542
722,1000000,10,5,0.14,517545
717,1000000,10,5,0.14,517555
746,1000000,10,5,0.14,517560
724,1000000,10,5,0.14,517570
709,1000000,10,5,0.14,517587
737,1000000,10,5,0.14,517611
708,1000000,10,5,0.14,517666
729,1000000,10,5,0.14,517709
750,1000000,10,5,0.15,1
751,1000000,10,5,0.15,1
753,1000000,10,5,0.15,1
760,1000000,10,5,0.15,1
761,1000000,10,5,0.15,1
763,1000000,10,5,0.15,1
768,1000000,10,5,0.15,1
769,1000000,10,5,0.15,1
772,1000000,10,5,0.15,1
777,1000000,10,5,0.15,1
779,1000000,10,5,0.15,1
783,1000000,10,5,0.15,1
785,1000000,10,5,0.15,1
787,1000000,10,5,0.15,1
790,1000000,10,5,0.15,1
791,1000000,10,5,0.15,1
793,1000000,10,5,0.15,1
794,1000000,10,5,0.15,1
795,1000000,10,5,0.15,1
796,1000000,10,5,0.15,1
797,1000000,10,5,0.15,1
799,1000000,10,5,0.15,1
778,1000000,10,5,0.15,519824
755,1000000,10,5,0.15,519894
762,1000000,10,5,0.15,519918
757,1000000,10,5,0.15,519940
766,1000000,10,5,0.15,519967
776,1000000,10,5,0.15,519987
752,1000000,10,5,0.15,519996
781,1000000,10,5,0.15,519997
756,1000000,10,5,0.15,520030
788,1000000,10,5,0.15,520036
767,1000000,10,5,0.15,520049
784,1000000,10,5,0.15,520049
789,1000000,10,5,0.15,520049
759,1000000,10,5,0.15,520056
775,1000000,10,5,0.15,520068
754,1000000,10,5,0.15,520100
798,1000000,10,5,0.15,520103
764,1000000,10,5,0.15,520110
758,1000000,10,5,0.15,520111
771,1000000,10,5,0.15,520115
786,1000000,10,5,0.15,520117
770,1000000,10,5,0.15,520132
792,1000000,10,5,0.15,520138
765,1000000,10,5,0.15,520152
774,1000000,10,5,0.15,520227
780,1000000,10,5,0.15,520240
782,1000000,10,5,0.15,520242
773,1000000,10,5,0.15,520267
801,1000000,10,5,0.16,1
802,1000000,10,5,0.16,1
805,1000000,10,5,0.16,1
806,1000000,10,5,0.16,1
807,1000000,10,5,0.16,1
808,1000000,10,5,0.16,1
810,1000000,10,5,0.16,1
811,1000000,10,5,0.16,1
812,1000000,10,5,0.16,1
814,1000000,10,5,0.16,1
817,1000000,10,5,0.16,1
818,1000000,10,5,0.16,1
819,1000000,10,5,0.16,1
825,1000000,10,5,0.16,1
829,1000000,10,5,0.16,1
832,1000000,10,5,0.16,1
835,1000000,10,5,0.16,1
836,1000000,10,5,0.16,1
837,1000000,10,5,0.16,1
838,1000000,10,5,0.16,1
839,1000000,10,5,0.16,1
840,1000000,10,5,0.16,1
841,1000000,10,5,0.16,1
845,1000000,10,5,0.16,1
847,1000000,10,5,0.16,1
848,1000000,10,5,0.16,521870
800,1000000,10,5,0.16,521881
823,1000000,10,5,0.16,521973
844,1000000,10,5,0.16,521992
821,1000000,10,5,0.16,521999
843,1000000,10,5,0.16,522012
803,1000000,10,5,0.16,522019
828,1000000,10,5,0.16,522032
809,1000000,10,5,0.16,522033
824,1000000,10,5,0.16,522042
830,1000000,10,5,0.16,522043
822,1000000,10,5,0.16,522061
842,1000000,10,5,0.16,522073
827,1000000,10,5,0.16,522085
815,1000000,10,5,0.16,522093
816,1000000,10,5,0.16,522100
849,1000000,10,5,0.16,522104
846,1000000,10,5,0.16,522107
834,1000000,10,5,0.16,522110
820,1000000,10,5,0.16,522126
831,1000000,10,5,0.16,522132
833,1000000,10,5,0.16,522148
813,1000000,10,5,0.16,522156
